snapshot_date,snapshot_at_utc,source,format_slug,format_name,source_url,pokemon_name,usage_rank,usage_pct,sample_teams,team_appearances,team_appearance_pct,wins,losses,draws,matches_played,win_rate,avg_team_rank,best_team_rank,unique_authors,unique_events,top_teammates,top_teammate_appearances,top_teammate_win_rates
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Lopunny-Mega,,,20,1,5.00,6,0,0,6,100.00,18.00,18,1,1,Dragonite:Meowscarada:Orthworm:Primarina:Volcarona,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Meganium-Mega,,,20,1,5.00,9,0,0,9,100.00,11.00,11,1,1,Archaludon:Basculegion:Pelipper:Sableye:Scizor,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Meowscarada,,,20,1,5.00,6,0,0,6,100.00,18.00,18,1,1,Dragonite:Lopunny-Mega:Orthworm:Primarina:Volcarona,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Mimikyu,,,20,1,5.00,11,2,0,13,84.62,2.00,2,1,1,Corviknight:Excadrill:Hydreigon:Rotom-Wash:Tyranitar-Mega,1:1:1:1:1,84.62:84.62:84.62:84.62:84.62
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Orthworm,,,20,1,5.00,6,0,0,6,100.00,18.00,18,1,1,Dragonite:Lopunny-Mega:Meowscarada:Primarina:Volcarona,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Politoed,,,20,1,5.00,11,1,0,12,91.67,5.00,5,1,1,Archaludon:Gengar-Mega:Incineroar:Sableye:Sinistcha,1:1:1:1:1,91.67:91.67:91.67:91.67:91.67
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Primarina,,,20,1,5.00,6,0,0,6,100.00,18.00,18,1,1,Dragonite:Lopunny-Mega:Meowscarada:Orthworm:Volcarona,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Rotom-Heat,,,20,1,5.00,7,0,0,7,100.00,15.00,15,1,1,Glimmora-Mega:Gyarados-Mega:Ninetales-Alola:Sableye:Sinistcha,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Scizor,,,20,1,5.00,9,0,0,9,100.00,11.00,11,1,1,Archaludon:Basculegion:Meganium-Mega:Pelipper:Sableye,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Scizor-Mega,,,20,1,5.00,12,0,0,12,100.00,1.00,1,1,1,Archaludon:Basculegion:Dragonite-Mega:Incineroar:Pelipper,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Tsareena,,,20,1,5.00,11,2,0,13,84.62,14.00,14,1,1,Basculegion:Froslass-Mega:Kingambit:Kommo-o:Sneasler,1:1:1:1:1,84.62:84.62:84.62:84.62:84.62
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Tyranitar,,,20,1,5.00,11,2,0,13,84.62,10.00,10,1,1,Charizard-Mega-Y:Floette-Eternal:Garchomp:Incineroar:Whimsicott,1:1:1:1:1,84.62:84.62:84.62:84.62:84.62
2026-05-21,2026-05-21T19:16:10Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Venusaur-Mega,,,20,1,5.00,7,0,0,7,100.00,17.00,17,1,1,Aegislash:Garchomp:Hydreigon:Incineroar:Rotom-Wash,1:1:1:1:1,100.00:100.00:100.00:100.00:100.00
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Sneasler,1,43.80,20,6,30.00,63,5,0,68,92.65,9.83,3,6,5,Kingambit:Garchomp:Froslass-Mega:Floette-Eternal:Basculegion,5:3:3:3:3,91.23:93.75:93.55:91.89:91.67
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Garchomp,2,40.40,20,9,45.00,85,13,0,98,86.73,10.78,4,9,8,Kingambit:Charizard-Mega-Y:Rotom-Wash:Sneasler:Basculegion,6:5:3:3:3,90.77:81.36:100.00:93.75:87.88
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Kingambit,3,38.21,20,9,45.00,90,10,0,100,90.00,12.67,4,9,8,Garchomp:Sneasler:Basculegion:Charizard-Mega-Y:Froslass-Mega,6:5:5:4:3,90.77:91.23:87.93:88.89:93.55
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Basculegion,4,38.16,20,9,45.00,91,7,0,98,92.86,10.11,1,9,9,Kingambit:Whimsicott:Charizard-Mega-Y:Archaludon:Incineroar,5:4:4:3:3,87.93:91.30:88.89:100.00:100.00
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Incineroar,5,35.84,20,8,40.00,77,9,0,86,89.53,8.75,1,8,8,Basculegion:Archaludon:Floette-Eternal:Garchomp:Pelipper,3:3:3:3:2,100.00:96.88:93.75:78.79:100.00
2026-05-22,2026-05-22T12:00:02Z,pikalytics,gen9championsvgc2026regma,Pokemon Champions VGC 2026 Regulation Set M-A,https://pikalytics.com/pokedex/gen9championsvgc2026regma,Sinistcha,6,26.87,20,3,15.00,26,1,0,27,96.30,9.33,5,3,3,Archaludon:Incineroar:Sableye:Basculegion:Floette-Eternal,2:2:2:1:1,95.00:95.00:94.74:100.00:100.00
